leg,water,water,water,water,water,water,water,water,water,water,water,water,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,complex,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg,ddg_mean,ddg_mean,ddg_mean
repeat,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,-,-,-
,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,conv,val,err,aerr,val,err,aerr,val,err,aerr,val,err,aerr
edge_CAT-13b_CAT-17g,     29.50,      0.08,      0.07,     -0.18,     30.25,      0.07,      0.12,      0.43,     29.97,      0.07,      0.11,      0.39,     29.26,      0.08,      0.08,     -0.12,,,,,     28.17,      0.09,      0.17,      0.47,     -0.24,      0.11,      0.11,,,,     -1.80,      0.11,      0.20,,,
edge_CAT-13a_CAT-17g,     35.89,      0.06,      0.06,     -0.03,     36.03,      0.08,      0.08,     -0.04,     35.85,      0.08,      0.08,      0.03,     35.24,      0.10,      0.09,      0.02,     34.13,      0.15,      0.12,     -0.20,     34.61,      0.11,      0.14,      0.24,     -0.65,      0.12,      0.11,     -1.90,      0.17,      0.14,     -1.24,      0.14,      0.16,     -1.26,      0.37,
edge_CAT-13e_CAT-17g,     25.54,      0.09,      0.10,      0.07,     25.74,      0.09,      0.09,      0.08,     25.59,      0.08,      0.09,      0.04,     25.02,      0.15,      0.21,      0.37,     25.97,      0.13,      0.13,     -0.01,     25.91,      0.15,      0.11,     -0.28,     -0.52,      0.17,      0.23,      0.23,      0.16,      0.16,      0.32,      0.17,      0.14,      0.01,      0.28,
edge_CAT-4m_CAT-4c,     -0.25,      0.07,      0.07,      0.06,     -0.21,      0.06,      0.07,     -0.01,     -0.39,      0.07,      0.07,     -0.05,      2.33,      0.22,      1.31,      0.94,      1.82,      0.16,      0.21,      0.27,      1.64,      0.18,      0.18,     -0.09,      2.58,      0.23,      1.31,      2.03,      0.17,      0.22,      2.03,      0.19,      0.19,      2.21,      0.20,
edge_CAT-13k_CAT-4d,     19.14,      0.07,      0.08,      0.01,     19.07,      0.08,      0.08,     -0.03,     19.01,      0.08,      0.08,      0.01,     16.66,      0.16,      0.29,      0.49,     18.57,      0.21,      0.28,      0.18,     16.12,      0.21,      0.21,      0.07,     -2.48,      0.17,      0.30,     -0.50,      0.22,      0.29,     -2.89,      0.22,      0.22,     -1.96,      0.74,
edge_CAT-24_CAT-17e,     19.46,      0.06,      0.06,     -0.02,     19.51,      0.05,      0.06,      0.08,     19.47,      0.05,      0.06,      0.03,     20.32,      0.11,      0.10,     -0.06,     20.93,      0.12,      0.17,      0.30,     21.09,      0.14,      0.15,      0.10,      0.86,      0.13,      0.12,      1.42,      0.13,      0.18,      1.62,      0.15,      0.16,      1.30,      0.23,
edge_CAT-13g_CAT-17g,     17.01,      0.07,      0.07,      0.00,     16.94,      0.07,      0.08,      0.05,     16.83,      0.07,      0.07,      0.06,     16.81,      0.21,      0.22,      0.02,     17.12,      0.14,      0.34,      0.67,     18.05,      0.19,      0.20,      0.07,     -0.20,      0.22,      0.23,      0.18,      0.16,      0.35,      1.22,      0.20,      0.21,      0.40,      0.43,
edge_CAT-13d_CAT-13h,     -0.66,      0.06,      0.06,     -0.05,     -0.71,      0.05,      0.05,     -0.03,     -0.75,      0.06,      0.06,     -0.07,      1.17,      0.11,      0.09,     -0.19,     -0.39,      0.11,      0.36,      0.81,      1.20,      0.14,      0.14,      0.03,      1.83,      0.13,      0.11,      0.32,      0.12,      0.36,      1.95,      0.15,      0.15,      1.37,      0.53,
edge_CAT-13a_CAT-17i,     23.51,      0.07,      0.07,      0.01,     23.39,      0.06,      0.07,      0.06,     23.64,      0.08,      0.07,      0.02,     21.64,      0.10,      0.13,      0.20,     22.09,      0.13,      0.14,      0.12,     21.22,      0.09,      0.11,      0.16,     -1.87,      0.12,      0.15,     -1.30,      0.14,      0.16,     -2.42,      0.12,      0.13,     -1.86,      0.33,
edge_CAT-4m_CAT-13j,    -25.89,      0.10,      0.08,     -0.16,    -25.90,      0.08,      0.09,      0.10,    -25.92,      0.07,      0.09,      0.24,    -24.55,      0.10,      0.09,     -0.12,    -25.10,      0.11,      0.10,     -0.09,    -25.08,      0.09,      0.10,      0.02,      1.34,      0.14,      0.12,      0.80,      0.14,      0.13,      0.84,      0.11,      0.13,      0.99,      0.18,
edge_CAT-13a_CAT-13m,    -71.71,      0.06,      0.07,     -0.06,    -71.69,      0.07,      0.07,      0.02,    -71.67,      0.07,      0.08,      0.04,    -73.41,      0.15,      0.18,      0.18,    -73.38,      0.18,      0.19,     -0.01,    -73.37,      0.24,      0.25,      0.05,     -1.70,      0.16,      0.19,     -1.69,      0.19,      0.20,     -1.70,      0.25,      0.26,     -1.70,      0.10,
edge_CAT-4l_CAT-13k,    -78.68,      0.06,      0.08,      0.19,    -78.62,      0.08,      0.08,     -0.03,    -78.80,      0.07,      0.07,     -0.06,    -79.75,      0.23,      0.19,     -0.26,    -80.16,      0.16,      0.26,      0.46,    -80.00,      0.12,      0.12,     -0.09,     -1.07,      0.24,      0.21,     -1.54,      0.18,      0.27,     -1.20,      0.14,      0.14,     -1.27,      0.16,
edge_CAT-13o_CAT-17i,     32.62,      0.32,      0.29,      0.01,     33.04,      0.30,      0.26,     -0.22,     33.53,      0.33,      0.34,      0.03,     30.34,      0.59,      0.52,     -0.30,     32.34,      0.41,      0.30,     -0.39,     29.79,      0.21,      0.59,      0.79,     -2.28,      0.67,      0.60,     -0.70,      0.51,      0.40,     -3.74,      0.39,      0.68,     -2.24,      0.91,
edge_CAT-4c_CAT-4o,     13.10,      0.06,      0.07,      0.02,     13.03,      0.06,      0.06,     -0.02,     13.06,      0.07,      0.06,     -0.09,     13.16,      0.11,      0.12,     -0.05,     12.95,      0.18,      0.19,      0.11,     13.35,      0.13,      0.17,      0.15,      0.06,      0.13,      0.14,     -0.08,      0.19,      0.20,      0.29,      0.15,      0.18,      0.09,      0.13,
edge_CAT-4j_CAT-4o,     22.54,      0.04,      0.04,      0.04,     22.48,      0.04,      0.04,      0.06,     22.46,      0.04,      0.05,      0.06,     22.14,      0.08,      0.07,     -0.13,     21.88,      0.08,      0.09,      0.10,     22.03,      0.08,      0.09,      0.11,     -0.40,      0.09,      0.08,     -0.60,      0.09,      0.10,     -0.43,      0.09,      0.10,     -0.48,      0.07,
edge_CAT-4i_CAT-13m,    -75.68,      0.06,      0.06,      0.02,    -75.77,      0.06,      0.06,     -0.01,    -75.80,      0.06,      0.06,     -0.06,    -77.17,      0.11,      0.10,     -0.15,    -77.69,      0.10,      0.09,     -0.15,    -74.78,      0.17,      0.21,      0.19,     -1.49,      0.13,      0.12,     -1.92,      0.12,      0.11,      1.02,      0.18,      0.22,     -0.80,      0.92,
edge_CAT-24_CAT-17i,     -1.24,      0.07,      0.07,     -0.01,     -1.20,      0.05,      0.06,      0.01,     -1.30,      0.06,      0.06,      0.04,      2.42,      0.07,      0.08,     -0.12,      1.45,      0.10,      0.11,      0.07,      0.97,      0.09,      0.09,     -0.10,      3.66,      0.10,      0.11,      2.65,      0.11,      0.13,      2.27,      0.11,      0.11,      2.86,      0.42,
edge_CAT-13j_CAT-4o,     38.26,      0.08,      0.10,      0.11,     38.48,      0.08,      0.08,      0.06,     38.33,      0.09,      0.09,      0.03,     38.47,      0.13,      0.11,     -0.17,     38.29,      0.13,      0.10,     -0.30,     38.70,      0.11,      0.13,      0.17,      0.21,      0.15,      0.15,     -0.19,      0.15,      0.13,      0.37,      0.14,      0.16,      0.13,      0.18,
edge_CAT-4n_CAT-13k,     -7.90,      0.06,      0.06,     -0.09,     -7.94,      0.05,      0.06,     -0.00,     -7.90,      0.07,      0.07,      0.04,     -6.90,      0.12,      0.17,      0.26,     -6.57,      0.10,      0.10,     -0.00,     -6.40,      0.11,      0.13,      0.19,      1.00,      0.13,      0.18,      1.37,      0.11,      0.12,      1.50,      0.13,      0.15,      1.29,      0.16,
edge_CAT-4o_CAT-4b,    -11.85,      0.05,      0.05,      0.01,    -11.89,      0.07,      0.06,     -0.09,    -11.78,      0.07,      0.06,     -0.05,    -12.61,      0.15,      0.29,      0.53,    -15.07,      0.07,      0.10,      0.23,,,,,     -0.76,      0.16,      0.29,     -3.18,      0.10,      0.12,,,,,,
edge_CAT-17i_CAT-13f,     -8.26,      0.07,      0.07,      0.00,     -8.36,      0.06,      0.07,      0.04,     -8.38,      0.06,      0.06,      0.00,     -8.25,      0.12,      0.11,     -0.15,     -7.17,      0.13,      0.16,      0.15,     -7.01,      0.14,      0.13,     -0.09,      0.01,      0.14,      0.13,      1.19,      0.14,      0.17,      1.37,      0.15,      0.14,      0.86,      0.43,
edge_CAT-17c_CAT-17e,     12.64,      0.05,      0.05,     -0.00,     12.75,      0.06,      0.05,     -0.04,     12.74,      0.05,      0.05,     -0.01,     12.71,      0.08,      0.08,     -0.06,     12.97,      0.09,      0.09,      0.03,     12.83,      0.10,      0.10,      0.10,      0.07,      0.09,      0.09,      0.22,      0.11,      0.10,      0.09,      0.11,      0.11,      0.13,      0.07,
edge_CAT-13k_CAT-4b,     19.02,      0.07,      0.07,     -0.04,     18.91,      0.06,      0.08,      0.15,     18.88,      0.07,      0.06,     -0.07,     17.55,      0.18,      0.17,     -0.06,     16.89,      0.15,      0.17,      0.13,     16.80,      0.16,      0.29,      0.53,     -1.47,      0.19,      0.18,     -2.02,      0.16,      0.19,     -2.08,      0.17,      0.30,     -1.86,      0.21,
edge_CAT-4m_CAT-4j,     -9.78,      0.05,      0.05,      0.06,     -9.77,      0.05,      0.05,      0.03,     -9.63,      0.06,      0.05,      0.01,     -9.14,      0.10,      0.13,      0.24,     -8.26,      0.07,      0.15,      0.58,     -8.02,      0.10,      0.09,     -0.20,      0.64,      0.11,      0.14,      1.51,      0.09,      0.16,      1.61,      0.12,      0.10,      1.25,      0.31,
edge_CAT-13n_CAT-13k,     83.98,      0.07,      0.08,      0.05,     83.92,      0.06,      0.07,      0.10,     83.85,      0.07,      0.07,     -0.01,     82.62,      0.12,      0.10,     -0.17,     82.53,      0.14,      0.14,      0.06,     81.98,      0.14,      0.18,      0.14,     -1.36,      0.14,      0.13,     -1.39,      0.15,      0.16,     -1.87,      0.16,      0.19,     -1.54,      0.18,
edge_CAT-13d_CAT-17h,     -2.04,      0.05,      0.05,      0.03,     -1.92,      0.05,      0.05,      0.00,     -2.10,      0.04,      0.05,     -0.02,     -2.03,      0.06,      0.06,     -0.01,     -1.56,      0.06,      0.06,     -0.01,     -1.60,      0.07,      0.06,     -0.09,      0.01,      0.08,      0.08,      0.36,      0.08,      0.08,      0.50,      0.08,      0.08,      0.29,      0.15,
