#1_edge   2_ddg  3_ddg_err
#all values in kcal/mol
edge_43_48  1.87  0.41
edge_43_44  2.30  0.31
edge_30_56  0.08  0.60
edge_30_70  1.30  1.77
edge_65_34  1.33  0.90
edge_65_70  -1.41  0.55
edge_65_64  0.43  0.12
edge_65_63  0.25  0.11
edge_65_20  -1.12  0.67
edge_49_58  -2.55  0.82
edge_49_42  -3.19  0.72
edge_49_44  -1.31  0.68
edge_24_69  -3.21  0.49
edge_24_70  -3.18  0.47
edge_24_34  -1.22  0.68
edge_67_56  1.50  0.67
edge_67_57  2.65  0.47
edge_67_64  3.15  0.22
edge_62_70  -1.80  0.44
edge_62_31  2.66  0.36
edge_56_69  -0.81  0.27
edge_59_35  -0.27  0.27
edge_59_52  0.80  0.69
edge_59_47  0.93  0.45
edge_38_26  3.33  0.89
edge_38_41  1.48  0.50
edge_38_39  0.58  0.15
edge_31_19  2.73  1.23
edge_48_47  0.26  0.25
edge_48_20  -0.95  0.50
edge_58_68  -1.81  0.65
edge_58_60  1.70  0.25
edge_58_63  0.89  0.08
edge_41_44  1.28  0.34
edge_29_54  0.78  0.40
edge_29_63  -1.93  0.71
edge_29_70  -2.97  0.21
edge_29_23  0.74  0.68
edge_54_36  0.64  0.75
edge_54_70  -4.07  0.92
edge_47_46  -0.24  0.14
edge_47_20  -2.53  0.76
edge_26_69  -3.57  0.42
edge_26_70  -3.96  0.46
edge_55_63  1.57  0.44
edge_55_23  3.72  0.65
edge_20_39  2.13  0.18
edge_20_42  0.13  0.41
edge_57_70  -1.90  0.22
edge_35_69  -1.97  0.25
edge_44_68  -2.27  0.69
edge_63_36  2.94  1.09
edge_69_53  3.67  0.88
edge_69_23  3.40  0.49
edge_69_60  2.37  0.26
edge_52_53  0.85  0.18
edge_52_19  2.16  0.83
edge_52_46  -0.05  0.14
edge_19_37  -5.05  2.25
edge_19_70  -4.08  1.93
edge_68_70  0.80  0.14
edge_68_53  5.25  0.58
edge_33_23  0.09  0.66
edge_33_36  0.11  0.68
edge_33_70  -3.97  0.16
edge_39_37  -0.73  0.35
