,val,err,aerr,conv,env,repeat,target,edge
1,-27.06,0.27,0.34,0.24,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402763_90
2,-3.51,0.25,0.25,0.04,complex,1,cmet,edge_CHEMBL3402741_400_CHEMBL3402764_90
4,-2.35,0.19,0.26,0.32,complex,1,cmet,edge_CHEMBL3402742_23_CHEMBL3402763_90
5,-19.79,0.16,0.18,0.12,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402742_23
10,-23.27,0.15,0.16,0.13,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402763_90
11,-1.27,0.08,0.08,0.07,complex,1,cmet,edge_CHEMBL3402743_42_CHEMBL3402764_90
12,-2.49,0.08,0.08,-0.02,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5
13,44.2,0.17,0.19,0.08,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12
15,63.45,0.4,0.37,-0.01,complex,1,cmet,edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5
16,26.7,0.18,0.21,0.18,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402742_23
17,46.17,0.13,0.16,0.18,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402743_42
18,48.99,0.14,0.14,-0.05,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8
19,46.66,0.17,0.18,-0.01,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12
20,58.76,0.37,0.85,0.78,complex,1,cmet,edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7
21,-42.24,0.14,0.14,-0.15,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4
22,20.53,0.09,0.19,0.54,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9
23,10.76,0.04,0.04,-0.23,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11
24,3.74,0.04,0.05,-0.0,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12
25,38.09,0.06,0.08,0.16,complex,1,cmet,edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15
27,-2.41,0.12,0.16,0.23,complex,1,cmet,edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8
