,pdb,associated_sets,numLigands,std(DG),dynamic range,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-all,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-I,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,OFF-conv-II,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,filtered III,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,gaff2,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,cgenff,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e-gap,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,opls3e,openff,openff,openff,openff,openff,openff,openff,openff,openff,openff,openff,openff,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_converged,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,openff_repeatfilter,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,all edges off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged I off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,converged II off-1.2,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch,opls3e-sch
,,,,,,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho,RMSE,RMSE,RMSE,MUE,MUE,MUE,R2,R2,R2,rho,rho,rho
,,,,,,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high,mle,min,high
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk1,2GMX,['Schrodinger JACS'],21,0.8,3.4,0.8616142876386281,0.6412947732735754,1.069745647138771,0.7312066984540242,0.5455490979843673,0.9276808838478168,0.43268620399303287,0.20208402500887326,0.7961290314411557,0.6577888749386331,0.4545315889043713,0.8855753166021108,0.8588523463308841,0.6217053362209071,1.0519419168441415,0.7282040225634365,0.5449952569585056,0.9409261505738552,0.43548517161982503,0.19958985249080527,0.7913637609675817,0.6599130030692112,0.44858728584468677,0.8826957100909544,0.8742884671213994,0.6767697944041973,1.0667749302409715,0.7552056664476742,0.5802526087851133,0.9432560287863736,0.4038665307112913,0.18362508948265927,0.7208001835833446,0.6355049415317645,0.43413594608394407,0.8538315120835572,0.8732091909104969,0.6621478240350379,1.0695732386859833,0.7542070540374809,0.5748215677675301,0.9495281441915688,0.40352660005102586,0.17620809051049283,0.7349374343374988,0.6352374359647154,0.43360270517355054,0.8541567142504413,0.9694154793449603,0.6962663958313917,1.2403728096119253,0.7998016457449568,0.578753380904247,1.0648451564674535,0.6390323398157914,0.3270852841156445,0.8940099594644617,0.7993949836068475,0.5640178756908508,0.9399349565333041,0.7219181448272441,0.4648375661781638,0.960645961952471,0.5165938879029488,0.31278846317398257,0.7322036210017916,0.5473484950484651,0.286579481454372,0.8232244152202408,0.7398300447051774,0.513475334328127,0.9105416524162634,0.6291158305274331,0.4656504800613072,0.7835474625945225,0.5009511774835677,0.33791992036013146,0.6807586623126713,0.7786305866350314,0.6633613599677443,0.8894852262460506,0.8824004684014122,0.8130510918988385,0.9429258513330457,0.6291158305274331,0.4563773235828935,0.7843777128323007,0.5009511774835677,0.3398638986454664,0.669481822429441,0.7786305866350314,0.6419585962494433,0.888052546530349,0.8824004684014122,0.8073184258221179,0.9428930912836677,0.8616142876386281,0.6523472450755551,1.075144372496446,0.7312066984540242,0.5477675324335076,0.9341041049595682,0.43268620399303287,0.1840259524952274,0.773005523647887,0.6577888749386331,0.42068492897654824,0.8783362992173063,0.8588523463308841,0.6338690862667118,1.0717113968451941,0.7282040225634365,0.5484584691258418,0.9289382261338087,0.43548517161982503,0.18609178783906527,0.7877430312264511,0.6599130030692112,0.43013710347356116,0.884467328972037,0.8742884671213994,0.6590277441960456,1.0782964774392554,0.7552056664476742,0.574627547485332,0.9462121081667485,0.4038665307112913,0.17101077042881457,0.7243684889728844,0.6355049415317645,0.4104123559939402,0.8493478474083721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde2,"4D08,4D09,6EZF",,21,0.9,3.2,1.4080246042857272,1.061176595886391,1.6853434977109525,1.1876872681652653,0.8904592632048581,1.505602840090682,0.005336280476553438,5.384297933811041e-05,0.24508234908742832,-0.07304984925756826,-0.4880268322866767,0.35398076370043163,1.0538174723567213,0.6502648910977588,1.427220376462925,0.7797646682798341,0.4991257350243242,1.1098734567351258,0.03198044877052696,0.0002133600222218829,0.39100423099331244,0.17883078250269707,-0.33058012723609126,0.6565441680130791,1.1465775027215201,0.847552481483477,1.4150317518324915,0.9594857494179779,0.675395930639578,1.2254447588922468,0.058480878100896784,0.0003696864081379327,0.38176936832709385,0.24182819955682752,-0.26131199533757893,0.6203149485563295,1.0515226658867787,0.7884627764448813,1.2949828073431169,0.898071567699636,0.6468296639522796,1.1721790036762925,0.11037931384654444,0.00018490496767446227,0.48177210129613396,0.3322338240555052,-0.1685563857670568,0.6944531761066641,0.962157066399502,0.5692305865505213,1.3754440824659817,0.6901119826056423,0.43802692607197957,0.9986986767118128,0.09859107449905309,0.00025430017313274805,0.6058527082035492,0.3139921567476696,-0.15958183439044246,0.7626908698915328,1.1645297062517885,0.8451410939509831,1.4574405743437264,0.9559936922171369,0.6572669737949742,1.2767609056411746,0.2954228337064876,0.08419104577716308,0.601944665387982,0.5435281351563022,0.3055929156424928,0.7705404227975241,1.159322452365274,0.8234893309230777,1.485563025333778,0.8866955031193646,0.5740568527168642,1.2143903357813892,0.05199823100424493,0.00011619364281982428,0.43110798960336283,0.22803120620705622,-0.2132622566860707,0.6438660294432021,1.159322452365274,0.7893726144238965,1.4596316081341087,0.8866955031193646,0.5751078398541133,1.2151563552623916,0.05199823100424493,0.00019307189266056312,0.3997937923762197,0.22803120620705622,-0.2193034918190985,0.6235112645274274,1.4080246042857272,1.085322026324773,1.6808329463281313,1.1876872681652653,0.8780574410314147,1.5386818633410173,0.005336280476553438,3.050540117499166e-05,0.26543107347857703,-0.07304984925756826,-0.4843498828299065,0.3788889365187224,1.0538174723567213,0.6590674504415166,1.4315406966322946,0.7797646682798341,0.4973258646531859,1.0883141723404002,0.03198044877052696,0.0001859197726193707,0.46046687812327713,0.17883078250269707,-0.3661490110333644,0.6580397445956917,1.1465775027215201,0.8465602605800402,1.4061190161449753,0.9594857494179779,0.6678988812207997,1.2451398400533897,0.058480878100896784,0.00026127754641194176,0.38280132883690215,0.24182819955682752,-0.26445695519184576,0.6508097597438768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrombin,2ZFF,['Schrodinger JACS'],11,0.5,1.7,0.8070859661168555,0.5325686289929488,1.0194730359876762,0.6813245014207989,0.41600364252290123,0.9247484073518446,0.1329486440519506,0.0012564669878310836,0.49185311839430607,0.3646212336822288,-0.06809354265113672,0.7310276833517403,0.8049711864867097,0.5245451145016058,1.0121552899225035,0.6803363456077633,0.43393231668681714,0.9282030270927837,0.1312799992625321,0.0008482626466526474,0.48351067683391735,0.3623258192049416,-0.10633170747544145,0.716918797395754,0.7880751134693127,0.5224730765212823,1.0094326486362049,0.6645277805121969,0.42114631758746773,0.9191779767980442,0.1375957717845254,0.0013366251539140236,0.5391967522766494,0.37093904052354115,-0.05783647283331287,0.7144167637914154,0.7856876893953352,0.5212299237800637,0.9994903487800255,0.6628275265326462,0.41198109579210485,0.9053968221134795,0.1413196709159005,0.0013702924096629556,0.4940708092036192,0.3759250868403179,-0.06002276591684287,0.749819748784366,0.7535830466465335,0.5329396656670675,0.9748378186471858,0.6676430442912616,0.46035601893628936,0.8938916479692213,0.05556273124899952,0.00022744935096978225,0.5127415396543976,0.23571748184850333,-0.3081809731390825,0.7057563526426853,1.0734933891347127,0.34837510465339566,1.643292532455159,0.6837752750982893,0.2738765275401,1.2570557094909829,0.0012112359450944102,0.00019406069886313394,0.7173230963462638,-0.03480281518921156,-0.648986973703359,0.817885535731984,0.7689183712086031,0.45652570950714794,1.0288359052869271,0.6322284525274149,0.37679423328238376,0.9138881114492282,0.5845513509249788,0.10276360521345775,0.8749290085594009,0.7645595797091151,0.31196751793819993,0.9469388424900634,0.7689183712086031,0.49343191516865814,1.0194372313168898,0.6322284525274149,0.3819029269721757,0.9028340365877526,0.5845513509249788,0.08837688471068726,0.897392551961128,0.7645595797091151,0.3831749920120844,0.9481161228239373,0.8070859661168555,0.5626747896887465,1.011305957979271,0.6813245014207989,0.40770785577401464,0.9382867138378032,0.1329486440519506,0.0012925836910871065,0.4893879759918928,0.3646212336822288,-0.1073486034367323,0.7152873822748085,0.8049711864867097,0.5543470729984699,1.0262696166239325,0.6803363456077633,0.42324050966406684,0.9350666468859604,0.1312799992625321,0.0018413615173579056,0.4775538344975026,0.3623258192049416,-0.06714646357752214,0.6879822912567569,0.7880751134693127,0.5228437937648005,1.0138373397750096,0.6645277805121969,0.4113082153856546,0.923278570441542,0.1375957717845254,0.0010613638928958938,0.48484396207879754,0.37093904052354115,-0.06228211700994913,0.7195755407553547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38,"1OUY, 3FLY",['Schrodinger JACS'],34,1.0,3.8,1.1350502833693255,0.8059218877666814,1.4881204590810828,0.8511082221433776,0.6002584995076884,1.104717753503794,0.5628791734804398,0.3788341437039778,0.7534871815895194,0.7502527397353773,0.5964618544616114,0.8728831670722577,0.9963483134647891,0.800489061537454,1.1756605275026752,0.7953784034920959,0.5981428753092198,1.0043424562566905,0.511943355617733,0.29662562966925915,0.7044282810651324,0.7155021702397086,0.5381762949977115,0.8416372409537011,0.9737789176258016,0.7786156977246063,1.1617205180314376,0.7978035524444189,0.6145542698662131,0.9880605892233212,0.4426212328822592,0.22506396164531803,0.6742174742442028,0.6652978527563872,0.48955975109315897,0.8069253989216272,0.9731731241550601,0.7748094325860485,1.1330822508456415,0.7983895906465248,0.6068806608720348,0.9920000360728338,0.44171224670713605,0.2252236723831507,0.6395889986888083,0.6646143593898163,0.47674051218993724,0.8104204223559366,0.7650949514599519,0.6111039746281797,0.929030160226881,0.6203116203215293,0.47853720959751117,0.7709832715921607,0.4647909719177233,0.2528851202366209,0.6861537163814283,0.681755800795067,0.5181936022522193,0.832695816707647,1.228395311259425,0.860724737546113,1.5598927867664716,0.9447966350951645,0.6824937011694908,1.2077504875304468,0.49960457397164504,0.2739198425311144,0.6755022789260913,0.7068271174563446,0.5383196678194159,0.8289148480448476,0.8216966277946185,0.6231569057955483,1.0081497631166478,0.6417274076431183,0.4796340075346091,0.8299352447843584,0.658434767215977,0.4221146941276675,0.8329499948450574,0.811439934447385,0.6450951486202512,0.9116865848475031,0.8216966277946185,0.6020211895936572,1.0161017825486702,0.6417274076431183,0.4722410025674694,0.812752256025982,0.658434767215977,0.41205213653630157,0.8289401727865048,0.811439934447385,0.6718113914809357,0.9119147305527859,1.1350502833693255,0.8126137339402484,1.5187546384893496,0.8511082221433776,0.6093704297464281,1.1244364894886427,0.5628791734804398,0.37191994876618145,0.7472206524142081,0.7502527397353773,0.606545313537072,0.8647399171674097,0.9963483134647891,0.8009135518336687,1.1772550695076223,0.7953784034920959,0.5902128312314956,1.0127937498853672,0.511943355617733,0.2952384116386156,0.7106790438885943,0.7155021702397086,0.5578576375855971,0.8559752085510054,0.9737789176258016,0.7682773177202767,1.1469340099412737,0.7978035524444189,0.5995021173766639,0.9970237293465424,0.4426212328822592,0.2415464848761707,0.6611215097211915,0.6652978527563872,0.46922429090303036,0.8081873804753604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptp1b,2QBS,['Schrodinger JACS'],23,1.3,5.2,1.329572308486447,0.7826342428312795,1.82166758153764,0.9648652694654282,0.623163429079336,1.367065047311876,0.0899374390233601,0.0003323968367126615,0.5048002276726843,0.2998957135795044,-0.1452174800456223,0.7171078558306271,1.0218880753904833,0.7345383377562954,1.3031287294268432,0.8391017195946396,0.5981866317557052,1.0849422399926072,0.409358563608014,0.06980560689092581,0.7314473447312984,0.6398113500149979,0.23174527503178297,0.8572785842623525,1.0166720042995212,0.6745509429990166,1.3419400922264133,0.8027523878011407,0.5320343360783706,1.1075333899624349,0.495621832484743,0.10922520715025992,0.8045146739290083,0.704004142377545,0.3431399215279733,0.9106060136679277,1.0234862833671636,0.6778920983368776,1.3355469492941465,0.8072743463870556,0.5505995008421539,1.1144096283747367,0.48679665769161157,0.10169953922207814,0.808562042079498,0.6977081464993881,0.34269126000311484,0.8946225884098311,0.9028709008713584,0.7296131284265629,1.0621669812123844,0.7742371932960017,0.5756873308759459,0.977977108463319,0.5189217628789877,0.10437013209517222,0.7772787961584884,0.7203622442070297,0.3388751460327465,0.8828322503350904,1.0889996786382217,0.5238960249198243,1.5942781229997114,0.6942944376773357,0.4011081594290324,1.0683575681211848,0.30576004065002044,0.04170421381417761,0.7981812756424741,0.5529557311847129,0.23165771537969268,0.9017272919075429,0.7318353982925752,0.49966079351712456,0.9509867057164059,0.571235552453312,0.39620020484157614,0.7604889570750081,0.6927146299689655,0.5203161100232744,0.8622969633384033,0.8322947975140573,0.7069601888936601,0.9296083050426331,0.7318353982925752,0.47587149305710724,0.9608131239261521,0.571235552453312,0.39312243177602374,0.759383977257544,0.6927146299689655,0.5156743846794447,0.8565743848419697,0.8322947975140573,0.7326937459541787,0.9303911197466325,1.329572308486447,0.8152726728966018,1.8023476165651762,0.9648652694654282,0.6257271169349535,1.342646762937149,0.0899374390233601,0.0004312794022303212,0.5360300785438383,0.2998957135795044,-0.0858432447823472,0.720381290051258,1.0218880753904833,0.7351661011218352,1.2830038514039461,0.8391017195946396,0.5965793490798457,1.073641071125114,0.409358563608014,0.07461999186177952,0.7271903284943404,0.6398113500149979,0.25099190053310366,0.8492187221001587,1.0166720042995212,0.6712975758564355,1.3308643606376545,0.8027523878011407,0.5222986118227313,1.1245273861072358,0.495621832484743,0.08844177999057783,0.8045477526665664,0.704004142377545,0.30214932998704824,0.8927496871986387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galectin,"5E89,5E8A,5E88",,8,0.8,2.7,0.8484609227890221,0.5757372990348973,1.0709349011494578,0.7787499999999994,0.5587499999999992,1.0215624999999993,0.21902311388190138,0.001603632867993788,0.7058113094576991,0.46799905329167213,-0.18073853995044806,0.8452338118421925,0.8498574226827049,0.5896579752515675,1.0902809271009002,0.7800000000000005,0.556458333333333,1.014375000000001,0.21778834721003018,0.001417097456485689,0.7258092470057859,0.466677990920967,-0.1009024009413409,0.8273966636136858,0.8498574226827049,0.5857622052600453,1.0903309258100395,0.7800000000000005,0.558333333333333,1.019791666666667,0.21778834721003018,0.0024398340267940944,0.7617776902771864,0.466677990920967,-0.10827632782578007,0.8366510674871986,0.8498574226827045,0.5857622052600453,1.080128593167396,0.78,0.5583333333333329,1.0366666666666666,0.2177883472100309,0.001162364109963229,0.7617723698590507,0.4666779909209678,-0.1523136118522674,0.8353657176574955,0.9334900535226404,0.6964668565028818,1.1858515005566086,0.8705401529636714,0.6616658699808795,1.122309990439771,0.030706052164957604,0.00012413193841704056,0.7119326221977922,0.17523142459318647,-0.5358707415732014,0.8471649530557451,0.3337793042457157,0.21079555011870174,0.43570619031883356,0.29413718929254346,0.18774020076481912,0.40959189770554544,0.80670834886457,0.2731554281831485,0.9534596617821808,0.8981694432926174,0.4811007051685044,0.9819868057377057,0.2707304313019642,0.1522474939456226,0.36489082836423214,0.22373087954111012,0.12421964627151112,0.32945327437858674,0.9256671377117467,0.737232894269107,0.9875056901970687,0.9621159689516368,0.8479063157122778,0.9934548318999771,0.2707304313019642,0.14627779812605632,0.37612758632412946,0.22373087954111012,0.12225561663480014,0.33874223231357703,0.9256671377117467,0.7382663467361119,0.986650889514943,0.9621159689516368,0.8519742044023796,0.9937716997514159,0.8484609227890221,0.5828419060946112,1.0916995065035058,0.7787499999999994,0.5678124999999996,1.028124999999999,0.21902311388190138,0.0024812706881887628,0.7255689056220228,0.46799905329167213,-0.1596390273874206,0.8316193141794292,0.8498574226827049,0.5773153865570846,1.072587409025484,0.7800000000000005,0.5650000000000003,1.033333333333333,0.21778834721003018,0.002082868136758705,0.6971963735733528,0.466677990920967,-0.10982667073219528,0.8496789988131792,0.8498574226827049,0.5944079687666824,1.0744927743927466,0.7800000000000005,0.5608333333333327,1.014375000000001,0.21778834721003018,0.002456010370619373,0.7416944189181676,0.466677990920967,-0.14184140537873693,0.8289802695946354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdk2,"1H1Q, 2WEV",['Schrodinger JACS'],16,1.2,4.3,0.6753942916661383,0.4054874453030907,0.9338664836342014,0.5215809889856697,0.3351806583651282,0.752581071140406,0.7313338431771472,0.3663668258715614,0.924506117765978,0.8551805909731276,0.6217330821048987,0.9542777788684192,0.6683058077097864,0.35812371843580487,0.9229644291211297,0.49326165837151725,0.2869998251555697,0.7282324470981194,0.7334804190819977,0.3844388388523439,0.9306088765238975,0.8564347138468859,0.616197124876101,0.9619430576944246,0.6904054976197829,0.39686177333085876,0.9618718150700597,0.5327410276381347,0.32631329151080996,0.770074570950223,0.6712728917775594,0.2586902630752795,0.9135800686859766,0.8193124506423415,0.5496121394950464,0.9562971377827233,0.6911346238807273,0.39062087996668843,0.9594440517365508,0.53329067660924,0.32016992864486055,0.7505169775773604,0.6705175241576664,0.24646955610708923,0.9167748232402095,0.8188513443584657,0.5334194947910164,0.9597489307665416,0.6665923900916664,0.3629167846076425,0.9438424283805379,0.4764389721372349,0.28156203823266274,0.7103775628962103,0.7182057831548819,0.4550936321830297,0.9290247740059283,0.8474702255270578,0.7005590937424178,0.9648908084280317,0.9521091676259691,0.6658757865998227,1.2446992064744813,0.7740213098867506,0.5053267049586778,1.0631814471590608,0.380221331051442,0.08924529489098765,0.8106531276937116,0.6166208973522079,0.2564156922845748,0.903938087953144,0.5930815515593925,0.41381988989955293,0.742343817400825,0.49413381583423766,0.3345026662293802,0.6681645429175593,0.7515963444504118,0.5357248370716856,0.9248389836579348,0.8669465637802669,0.7596172812577653,0.9610092677436343,0.5930815515593925,0.39788287884882517,0.7537357026378888,0.49413381583423766,0.3371625116893172,0.6605599126861053,0.7515963444504118,0.5753537425902083,0.9219971985223129,0.8669465637802669,0.7570080809909023,0.95554868743164,0.6753942916661383,0.40004364428935896,0.9448092116228141,0.5215809889856697,0.33053425718561225,0.7348847343719107,0.7313338431771472,0.3990185722918199,0.9306731417332045,0.8551805909731276,0.6430675984550184,0.9631747677631597,0.6683058077097864,0.3787451328549699,0.9231038690137574,0.49326165837151725,0.2856281887471691,0.7155373720730802,0.7334804190819977,0.407510065500009,0.9312432910161569,0.8564347138468859,0.6188276060716615,0.959941846396502,0.6904054976197829,0.39175874122207166,0.9668486843397953,0.5327410276381347,0.3337988559818868,0.7630836260090844,0.6712728917775594,0.3002590395038119,0.9236747648293824,0.8193124506423415,0.5613110252034991,0.9538275791038946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
