name,ligand0,ligand1,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
edge_19_70,lig_19,lig_70,-2.7699999999999996,0.0,-4.22,0.37
edge_20_42,lig_20,lig_42,0.05000000000000071,0.0,-0.52,0.17
edge_24_34,lig_24,lig_34,-1.1099999999999994,0.0,-1.34,0.50
edge_24_69,lig_24,lig_69,-1.8599999999999994,0.0,-3.62,0.25
edge_24_70,lig_24,lig_70,-1.4499999999999993,0.0,-3.32,0.26
edge_69_23,lig_69,lig_23,2.8199999999999994,0.0,2.95,0.69
edge_69_53,lig_69,lig_53,3.7399999999999993,0.0,3.18,0.31
edge_69_60,lig_69,lig_60,2.59,0.0,1.86,0.32
edge_26_69,lig_26,lig_69,-1.549999999999999,0.0,-2.75,0.22
edge_26_70,lig_26,lig_70,-1.1399999999999988,0.0,-2.98,0.41
edge_29_54,lig_29,lig_54,1.4800000000000004,0.0,1.19,0.32
edge_29_63,lig_29,lig_63,1.1000000000000014,0.0,0.15,0.76
edge_29_70,lig_29,lig_70,-0.6599999999999984,0.0,-1.83,0.37
edge_54_70,lig_54,lig_70,-2.139999999999999,0.0,-3.03,0.30
edge_33_23,lig_33,lig_23,0.7000000000000002,0.0,1.32,0.10
edge_33_70,lig_33,lig_70,-1.709999999999999,0.0,-2.08,0.12
edge_35_69,lig_35,lig_69,-0.5800000000000001,0.0,-0.77,0.16
edge_38_26,lig_38,lig_26,-0.41999999999999993,0.0,1.55,0.79
edge_38_39,lig_38,lig_39,1.5700000000000003,0.0,1.39,0.14
edge_38_41,lig_38,lig_41,1.3800000000000008,0.0,0.14,0.23
edge_43_44,lig_43,lig_44,-1.959999999999999,0.0,1.73,0.43
edge_43_48,lig_43,lig_48,-0.009999999999999787,0.0,2.38,0.69
edge_48_20,lig_48,lig_20,-0.5099999999999998,0.0,-1.85,0.28
edge_48_47,lig_48,lig_47,-0.33000000000000007,0.0,0.73,0.36
edge_47_20,lig_47,lig_20,-0.17999999999999972,0.0,-3.28,0.69
edge_47_46,lig_47,lig_46,0.4800000000000004,0.0,-0.46,0.23
edge_49_58,lig_49,lig_58,-1.209999999999999,0.0,-3.80,0.47
edge_58_60,lig_58,lig_60,1.0,0.0,0.76,0.12
edge_58_63,lig_58,lig_63,0.5800000000000001,0.0,0.41,0.24
edge_58_68,lig_58,lig_68,-0.6500000000000004,0.0,-1.16,0.16
edge_52_19,lig_52,lig_19,2.860000000000001,0.0,2.50,0.29
edge_52_46,lig_52,lig_46,2.5500000000000007,0.0,3.54,0.45
edge_55_23,lig_55,lig_23,2.7399999999999993,0.0,3.84,0.16
edge_55_63,lig_55,lig_63,2.09,0.0,2.99,0.10
edge_56_69,lig_56,lig_69,-0.14999999999999858,0.0,0.90,0.35
edge_57_70,lig_57,lig_70,0.16999999999999993,0.0,-1.17,0.08
edge_68_70,lig_68,lig_70,-0.5299999999999994,0.0,0.50,0.27
edge_59_35,lig_59,lig_35,-2.0299999999999994,0.0,-1.39,0.45
edge_59_47,lig_59,lig_47,-0.22000000000000064,0.0,2.56,0.61
edge_59_52,lig_59,lig_52,-2.290000000000001,0.0,1.05,0.77
edge_62_31,lig_62,lig_31,-1.5999999999999996,0.0,-0.75,0.14
edge_62_70,lig_62,lig_70,-2.629999999999999,0.0,-1.96,0.23
edge_65_20,lig_65,lig_20,0.9800000000000004,0.0,-0.45,0.48
edge_65_34,lig_65,lig_34,-0.47999999999999865,0.0,-0.38,0.31
edge_65_63,lig_65,lig_63,0.9400000000000013,0.0,-0.30,0.26
edge_65_64,lig_65,lig_64,0.07000000000000028,0.0,0.13,0.44
edge_65_70,lig_65,lig_70,-0.8199999999999985,0.0,-2.68,0.28
edge_67_56,lig_67,lig_56,-0.3200000000000003,0.0,-0.15,0.67
edge_67_57,lig_67,lig_57,-0.22999999999999865,0.0,0.94,0.54
edge_67_64,lig_67,lig_64,0.8300000000000001,0.0,1.90,0.31
