name,smiles,exp_dg[kcal/mol],exp_dg_error[kcal/mol],pred_dg[kcal/mol],pred_dg_error[kcal/mol]
10,[H][c]1[n][c]([N]2[C]([H])([H])[C]([H])([H])[C]([C]([H])([H])[H])([N+]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[n][c]1-[c]1[c]([H])[c]([H])[c]([H])[c]([Cl])[c]1[Cl],-7.2,0.0,-8.69,0.20
E30,[H][c]1[c]([H])[c]([Cl])[c]([Cl])[c](-[c]2[n][n][c]([N]3[C]([H])([H])[C]([H])([H])[C]([C]([H])([H])[H])([N+]([H])([H])[H])[C]([H])([H])[C]3([H])[H])[n][c]2[N]([H])[H])[c]1[H],-9.21,0.0,-11.51,0.17
11,[H][c]1[n][c](-[c]2[c]([H])[c]([H])[c]([H])[c]([Cl])[c]2[Cl])[c]([N]([H])[C]([H])([H])[H])[n][c]1[N]1[C]([H])([H])[C]([H])([H])[C]([C]([H])([H])[H])([N+]([H])([H])[H])[C]([H])([H])[C]1([H])[H],-6.39,0.0,-6.49,0.27
4,[H][c]1[n][c]([N]2[C]([H])([H])[C@]([H])([C]([H])([H])[H])[N+]([H])([H])[C@]([H])([C]([H])([H])[H])[C]2([H])[H])[n][c]([N]([H])[H])[c]1-[c]1[c]([H])[c]([H])[c]([Cl])[c]([Cl])[c]1[H],-5.86,0.0,-7.57,0.51
7,[H][c]1[n][c]([N]2[C]([H])([H])[C]([H])([H])[C]([H])([N+]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[n][c]([N]([H])[H])[c]1-[c]1[c]([H])[c]([H])[c]([H])[c]([Cl])[c]1[Cl],-7.12,0.0,-9.62,0.30
E25,[H][c]1[c]([H])[c]([Cl])[c]([Cl])[c](-[c]2[n][c]([C]#[N])[c]([N]3[C]([H])([H])[C]([H])([H])[C]([C]([H])([H])[H])([N+]([H])([H])[H])[C]([H])([H])[C]3([H])[H])[n][c]2[N]([H])[H])[c]1[H],-8.92,0.0,-6.19,0.30
E6,[H][O][c]1[c]([H])[c]([Cl])[c]([Cl])[c](-[c]2[c]([H])[n][c]([N]3[C]([H])([H])[C]([H])([H])[C]([C]([H])([H])[H])([N+]([H])([H])[H])[C]([H])([H])[C]3([H])[H])[n][c]2[N]([H])[H])[c]1[H],-9.13,0.0,-10.81,0.26
3,[H][c]1[n][c]([N]2[C]([H])([H])[C@]([H])([C]([H])([H])[H])[N+]([H])([H])[C@]([H])([C]([H])([H])[H])[C]2([H])[H])[n][c]([N]([H])[H])[c]1-[c]1[c]([H])[c]([H])[c]([H])[c]([Cl])[c]1[H],-5.5,0.0,-6.13,0.49
E3,[H][C]1=[C]([Cl])[S][C]([c]2[c]([H])[n][c]([N]3[C]([H])([H])[C]([H])([H])[C]([C]([H])([H])[H])([N+]([H])([H])[H])[C]([H])([H])[C]3([H])[H])[n][c]2[N]([H])[H])=[C]1[H],-8.27,0.0,-6.91,0.24
E9,[H][c]1[n][c](-[c]2[c]([H])[c]([H])[c]([H])[c]([Cl])[c]2[Cl])[c]([N]([H])[H])[n][c]1[N]1[C]([H])([H])[C]([H])([H])[C]([H])([C]([H])([H])[N+]([H])([H])[H])[C]([H])([H])[C]1([H])[H],-8.85,0.0,-7.75,0.34
